,english,swedish,danish,german ,dutch,romanian,french,italian,spanish,portuguese,latvian,lithuanian,polish,slovak,czech,slovenian,bulgarian,greek
english,0,4,4,4,4,4,5,6,7,7,6,6,7,8,8,7,7,5
swedish,4,0,2,4,4,6,7,8,9,9,8,8,9,10,10,9,9,7
danish,4,2,0,4,4,6,7,8,9,9,8,8,9,10,10,9,9,7
german,4,4,4,0,2,6,7,8,9,9,8,8,9,10,10,9,9,7
dutch,4,4,4,2,0,6,7,8,9,9,8,8,9,10,10,9,9,7
romanian,4,6,6,6,6,0,3,4,5,5,6,6,7,8,8,7,7,5
french,5,7,7,7,7,3,0,3,4,4,7,7,8,9,9,8,8,6
italian,6,8,8,8,8,4,3,0,3,3,8,8,9,10,10,9,9,7
spanish,7,9,9,9,9,5,4,3,0,2,9,9,10,11,11,10,10,8
portguese,7,9,9,9,9,5,4,3,2,0,9,9,10,11,11,10,10,8
latvian,6,8,8,8,8,6,7,8,9,9,0,2,5,6,6,5,5,5
lithuanian,6,8,8,8,8,6,7,8,9,9,2,0,5,6,6,5,5,5
polish,7,9,9,9,9,7,8,9,10,10,5,5,0,3,3,4,4,6
slovak,8,10,10,10,10,8,9,10,11,11,6,6,3,0,2,5,5,7
czech,8,10,10,10,10,8,9,10,11,11,6,6,3,2,0,5,5,7
slovenian,7,9,9,9,9,7,8,9,10,10,5,5,4,5,5,0,2,6
bulgarian,7,9,9,9,9,7,8,9,10,10,5,5,4,5,5,2,0,6
greek,5,7,7,7,7,5,6,7,8,8,5,5,6,7,7,6,6,0